|6.6.6
1,0_0,2_0,0_0,0_0,0_0,0_MANTLE_1.tab                                                                
           2
T(K)    
   2200.0000000000000     
   456.41025641025641     
          40
P(bar)  
   1250000.0000000000     
   4839743.5897435900     
          40
          23
T(K)           P(bar)         rho,kg/m3      v0,km/s        vp,km/s        vs,km/s        alpha,1/K      cp,J/K/kg      Wus,mo%        Pv,mo%         an,mo%         O,mo%          Wad,mo%        Ring,mo%       Gt_maj,mo%     Ppv,mo%        st,mo%         q,mo%          ca-pv,mo%      cfs,mo%        coe,mo%        ky,mo%         seif,mo%      
  17261.54       6089744.       7643.309       15.41632       0.000000       0.000000      0.2847746E-05   1277.198       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  17717.95       6089744.       7633.363       15.40363       0.000000       0.000000      0.2858774E-05   1278.328       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  18174.36       6089744.       7623.390       15.39092       0.000000       0.000000      0.2869886E-05   1279.466       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  18630.77       6089744.       7613.392       15.37820       0.000000       0.000000      0.2881082E-05   1280.612       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  19087.18       6089744.       7603.368       15.36547       0.000000       0.000000      0.2892366E-05   1281.767       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  19543.59       6089744.       7593.318       15.35271       0.000000       0.000000      0.2903739E-05   1282.931       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  20000.00       6089744.       7583.241       15.33995       0.000000       0.000000      0.2915201E-05   1284.103       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  2200.000      0.1092949E+08   9615.966       18.29879       21.60344       9.944707      0.1376067E-05   1201.898       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  2656.410      0.1092949E+08   9609.886       18.28895       21.52869       9.836111      0.1394072E-05   1215.489       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  3112.821      0.1092949E+08   9603.746       18.27903       21.45219       9.723939      0.1406094E-05   1223.834       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
